taf_00008_00072928033	மற்ற படங்களைப் பற்றிய செய்திகள் எதுவும் வெளிவரவில்லை
taf_00008_01305524612	மனோரமாவிற்கு பூபதி என்ற மகன் உள்ளார்
taf_02345_00348037167	ஆஸ்த்ரேலியப் பெண்ணுக்கு முப்பத்தி மூன்று ஆண்டுகளுக்குப் பின்னர் இந்தியா இழப்பீடு வழங்கியது
taf_02345_01664073518	இமாச்சலப் பிரதேசப் பழங்குடியினர் கிரேக்க மன்னன் அலெக்சாண்டரின் வாரிசுகளா?
taf_09705_01218130267	உங்களுடைய உணவுக் கட்டுப்பாட்டைச் சொன்னால் மற்றவர்களுக்கும் உதவியாக இருக்கும்
taf_09705_00202379033	ஐ பி எல் கிரிக்கெட் போட்டியில் சூதாட்டம் நடந்ததாக குற்றச்சாட்டுகள் எழுந்தது
taf_03219_00712757493	ரஹானே மட்டும் ஆறுதலாக முப்பத்தி ஆறு ரன்கள் குவித்தார்
taf_03219_01437285419	அரசுப் பள்ளிகளில் வழங்கப்படும் கல்வியினை ஆதரிக்கும் பரப்புரை தமிழகத்தில் துவக்கம்
taf_04125_01507228128	பணம் திசை திருப்பப்பட்டதை வங்காளதேசத்தின் கிராமின் வங்கி மறுக்கிறது
taf_04125_00189904551	விஷாலின் ரசிகர் மன்றம் மூலமாக வெள்ள நிவாரணம் வழங்கும் சோனா
tef_01033_00351357063	ఈ వివాదం సెప్టెంబర్ రెండు వేల తొమ్మిదిన పరిష్కారమైనది
tef_01033_00768409265	ప్రెస్ అకాడమీలో వెయ్యి తొమ్మిది వందల అరవై ఎనిమిది సంచిక\n
tef_02828_01625402654	ఒక బ్యాంకు ఒక ప్రాథమిక పాఠశాల ఉన్నాయి
tef_02828_00406037136	అప్పుడీ జిల్లా కేంద్రంగా అమరావతి ఉండేది
tef_08318_01333265498	చాలా గొంగళి పురుగులు షాకాహారులే
tef_08318_00750866960	పిన్ కోడ్ అయిదు లక్షలు మూడు వెలు వంద పదకొండు
tef_04830_00246502215	ప్రిన్సిపాల్ ఒక మొమెంటోతో ప్రవేశించారు
tef_04830_00071399449	కానీ గ్రామాలలో ఉండేవారికి తెలుసు
tef_09281_02034334714	ట్రూమాన్ లైబ్రరీ అండ్ మ్యూజియం
tef_09281_00868403693	కాని ఆ ప్రేమను మనసులోనే దాచుకుంటుంది
mlf_02879_01795762363	കൂടുതൽ വിവരങ്ങൾ വരുമ്പോൾ തിരിച്ചു ചേർക്കാം
mlf_02879_00815596770	അവർ അദ്ദേഹത്തെ സ്നേഹത്തോടെ ബെഞ്ചമിനച്ചൻ എന്ന് വിളിച്ചിരുന്നു
mlf_05401_00863865118	അതിന്റെ വികസിതദശയിൽ ഏതാണ്ട് മുപ്പതോളം ക്ഷേത്രങ്ങൾ പണിതീർത്തിട്ടുണ്ട്
mlf_05401_00212968046	അപ്രകാരം സംഭവിക്കുന്നത് ഊർജ്ജസംരക്ഷണനിയമത്തിനും സംവേഗസംരക്ഷണനിയമത്തിനും എതിരാകും
mlf_03132_01162270189	അത്തരം ഏറ്റുപറയൽ അനുരഞ്ജനപ്രക്രിയയുടെ ഭാഗമാണ്
mlf_03132_01613325358	അത്തരത്തിലുള്ള നിരവധി കിണറുകൾ ചരിത്ര ശേഷിപ്പുകളായി ഇവിടെ അവശേഷിക്കുന്നുണ്ട്
mlf_03228_01299568667	ആരെങ്കിലും ആ പൊതുനിലപാട് സ്വീകരിച്ചില്ലെന്നത് സമ്മാനിതനാവാനുള്ള കാരണമല്ല
mlf_03228_00668533754	അവയെക്കുറിച്ചറിയാൻ ഗുജറാത്തി നാനാർത്ഥങ്ങൾ എന്ന താൾ കാണുക
mlf_06469_02146596867	അദ്ദേഹം നൂറ്റിയിരുപത്തിയേഴ് റണ്ണുകൾ വാരിക്കൂട്ടി
mlf_06469_00270783947	അവിടെ ഗ്രോവിന്റെ ദുർഭരണത്തിനെതിരെ നടക്കുന്ന പ്രക്ഷോഭങ്ങളിൽ സജീവ സാന്നിദ്ധ്യമായി
knf_00557_01097230618	ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
knf_00557_00693422845	ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
knf_03271_01629528503	ಚಿತ್ರವನ್ನು ಕೆಲವೊಮ್ಮೆ ವಾರ್ನಿಷ್ ಅಥವಾ ಕೆಲವು ಇತರ ಮುದ್ರಕಗಳನ್ನು ರಕ್ಷಣೆಯಾಗಿ ಲೇಪನ ಮಾಡಲಾಗುತ್ತದೆ.
knf_03271_01280046274	ಮಣ್ಣು ಹಾಗೂ ಸಂಪುಟದ ನಡುವಿನ ಜಾಗವನ್ನು ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ.
knf_03574_00145342156	ಹಚ್ಚುವ ಮೊದಲು ಲೋಹಗಳ ಮೈಯನ್ನು ಉಜ್ಜಿ ಒರಟು ಮಾಡುವುದು ಒಳ್ಳೆಯದು.
knf_03574_01609069976	ಅಲ್ಲದೇ ಅದಕ್ಕೆ ಅಗತ್ಯ ತರಬೇತಿ ವ್ಯವಸ್ಥೆ ಮಾಡಿದರು.
knf_00001_01610070590	ಒಂದು ಸಾರ್ತಿ ಈ ಪಾರ್ಶ್ವಚಿತ್ರ ನಿರ್ಮಾಣವಾದ ನಂತರ
knf_00001_01200920211	ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕಾರ್ಟೆಲ್ಲುಗಳಲ್ಲಿ ಎರಡು ವಿಧ
knf_08476_01140084904	ಪರಿಸ್ಥಿತಿ ಹೀಗಿದ್ದರೂ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಶ್ರಮಜೀವಿಗಳ ಅನೇಕ ಹೋರಾಟಗಳಲ್ಲಿ ಜಯಗಳಿಸಿ ಕಾರ್ಮಿಕ ಚಳವಳಿಯನ್ನು ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ ಮಾಡಿತು
knf_08476_00023010443	ತನ್ನ ವ್ಯವಹಾರದಿಂದ ಸಂಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಲಾಭನಷ್ಟಗಳಿಗೂ ಈ ಸಂಸ್ಥೆಯೇ ಪುರ್ಣವಾಗಿ ಹೊಣೆಯಾಗಿದೆ
